"1","Cancer","ক্যান্সার","description needed"
"2","Chest Disease","বক্ষব্যাধি ","description needed"
"3","College","কলেজ","description needed"
"4","Dental","ডেন্টাল","description needed"
"5","District","জেলা","description needed"
"6","Eye","চোখ","description needed"
"7","Infectious Disease","সংক্রামক ব্যাধি","description needed"
"8","Kidney","কিডনি","description needed"
"9","Leprosy","কুষ্ঠ","description needed"
"10","Mental","মানসিক","description needed"
"11","Mother and Child","মা ও শিশু ","description needed"
"12","Specialized","বিশেষায়িত","description needed"
"13","Trauma"," ট্রমা ","description needed"
"14","University","বিশ্ববিদ্যালয়","description needed"
"15","Upazila","উপজেলা ","description needed"
